"Source:","/Users/michaelklein/Documents/KiCad/7.0/projects/AD9833_versatile_signal_generator/AD9833_vers_gen/AD9833_vers_gen.kicad_sch"
"Date:","2024 June 25, Tuesday 12:27:08"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Display","Indicator","JLCPCB ID","Manufacturer","Part Number","Sim.Device","Sim.Params","Sim.Pins","Specifications"
"1","1","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","","","","","","","","",""
"2","1","C1","100nF Folie","PCM_SL_Capacitors:104_Ceramic","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","","","","","","","","","","",""
"3","1","C2","2.2uF_16V","PCM_SL_Capacitors:4.7uF_16V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","","","","","","",""
"4","3","C3, C5, C6","22uF_16V","PCM_SL_Capacitors:22uF_16V","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","","","","","","","","","","",""
"5","1","C4","0.1uF_0603_16V","PCM_4ms_Capacitor:0.1uF_0603_16V","4ms_Capacitor:C_0603","","","0.1uF","","C14663","AVX Corporation","0603YC104KAT2A","","","","0.1uF, Min. 16V 10%, X7R or X5R or similar"
"6","2","D1, D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","","D","","1=K 2=A",""
"7","1","R1","1M5","PCM_SL_Devices:Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","","","","","","",""
"8","1","R2","2k2","PCM_SL_Devices:Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","","","","","","",""
"9","1","R3","100k","PCM_SL_Devices:Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","","","","","","",""
"10","1","R4","20k","PCM_SL_Devices:Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","","","","","","",""
"11","1","R5","100k","PCM_Generic:R-potentiometer,IEC","","","","","100k","","","","SPICE","type=""A"" model=""lin100k"" lib=""R-potentiometer.lib""","1=1 2=2 3=3",""
"12","1","R6","3k3","PCM_SL_Devices:Resistor","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","","","","","","",""
"13","1","SW1","Push for RESET","Switch:SW_Push","","~","","","","","","","","","",""
"14","1","SW2","VCO int/ext.","PCM_4ms_Switch:Slide_DPDT_SS22D06","4ms_Switch:Slide_Switch_Runrun_SS22D06","","","","","","RunRun","SS22D06","","","","On/On, SubMini toggle 2-position"
"15","1","SW3","measure int/ext.","PCM_4ms_Switch:Slide_DPDT_SS22D06","4ms_Switch:Slide_Switch_Runrun_SS22D06","","","","","","RunRun","SS22D06","","","","On/On, SubMini toggle 2-position"
"16","1","SW4","trigger out 5V/3V","PCM_4ms_Switch:Slide_DPDT_SS22D06","4ms_Switch:Slide_Switch_Runrun_SS22D06","","","","","","RunRun","SS22D06","","","","On/On, SubMini toggle 2-position"
"17","1","U2","MCP41010","Potentiometer_Digital:MCP41010","","http://ww1.microchip.com/downloads/en/DeviceDoc/11195c.pdf","","","","","","","","","",""
"18","1","U3","OPA2228PA","PCM_Amplifier_Operational_AKL:OPA2228PA","Package_DIP_AKL:DIP-8_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/opa2227.pdf?ts=1634999940353&ref_url=https%253A%252F%252Fwww.google.com%252F","","","","","","","","","",""
